original_Nr. Matricola,original_Cod. Cli/For,original_RAGIONESOCIALE,original_Commessa,original_Cod. Dest.,original_H2DES,original_INDIRIZZO,original_CITTA,original_CAP,original_PROVINCIA,original_NAZIONE,original_LONG,original_LAT,original_Fatt-Fitt,lat,lon,formatted,name,housenumber,district,street,postcode,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
DV2806059,1201000596,QS GROUP S.P.A,DV059,1,Linea DINO,STR. PER CASSINETTA 6,ABBIATEGRASSO,20081,MI,Italia,8.910587312,45.41477902,-999,45.398733,8.9162299,"Abbiategrasso, LOM, Italia",,,,,,,Abbiategrasso,Milano,MI,Lombardia,LOM,Italia,it,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
L93699114,1201001873,EUROMECCANICA SRL,LB056,1,Linea LEM_93,"VIA ROSSANO, 42/A",TEZZE SUL BRENTA,36056,VI,Italia,11.774747500,45.69960396,-133,,,,,,,,,,,,,,,,,,,,,,
O19205,1201001873,EUROMECCANICA SRL,O005,1,,"VIA ROSSANO, 42/A",TEZZE SUL BRENTA,36056,VI,Italia,11.774747500,45.69960396,1207,,,,,,,,,,,,,,,,,,,,,,
RV2006050,1201001150,EURO STAMPI SRL,RV050,,,VIA I. SILONE 8,JESI,60035,AN,Italia,13.278778605,43.5440202,1128,,,,,,,,,,,,,,,,,,,,,,
L293187,1201001883,TE.MI. WORLD SRL,L2134,,,LOC.STAB.AMIANTO 1,NOLE,10076,TO,Italia,7.565059042,45.23155709,1448,45.2439409,7.5729927,"Nole, PIE, Italia",,,,,,,Nole,Torino,TO,Piemonte,PIE,Italia,it,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
B95022,1201001844,MECAF SRL MODELLERIA,895,,Obsoleta,VIA E. DE NICOLA 39/41,SANT'ELPIDIO A MARE,63811,AP,Italia,13.722481040,43.27590562,1607,43.275865,13.721962,"Via Enrico De Nicola, 39/41, 63811 Sant'Elpidio A Mare Provincia di Fermo, Italia",,39/41,,Via Enrico De Nicola,63811,,Sant'Elpidio A Mare,Provincia di Fermo,,Marche,MAR,Italia,it,0.9,1,0.9,© OpenAddresses contributors,BSD-3-Clause License,
L93597083,1201001891,LASA GROUP SRL,LB025,,Linea LEM_93,VIA GRAMSCI 30,MERATE,23807,LC,Italia,9.413236766,45.68775269,-2332,45.6877542,9.413246,"Via Antonio Gramsci, 30, 23807 Merate LC, Italia",,30,Comune di Merate,Via Antonio Gramsci,23807,,Merate,Lecco,LC,Lombardia,LOM,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
RV2006049,1201001827,MERSTEEL SSC DOO TRADE & SERVI,RV049,1,,"CESTA NA OKROGLO, 7",NAKLO,4202,,Slovenia,14.318844829,46.2650701,524,46.26493,14.318752,"Cesta Na Okroglo 7, 4202 Naklo, Slovenia",,7,Naklo,Cesta Na Okroglo,4202,,Naklo,,,Gorenjska,,Slovenia,si,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
LM0604143,1201001821,B.F.R. SNC,LM159,,,VIA PARTIGIANI D'ITALIA 20,TRAVERSETOLO,43029,PR,Italia,10.386988300,44.6492577,-4274,44.6488834,10.3870187,"Via Partigiani d'Italia, 20, 43029 Traversetolo PR, Italia",,20,,Via Partigiani d'Italia,43029,,Traversetolo,Parma,PR,Emilia-Romagna,EMI,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
L190135,1201000123,MAINETTI SPA,L1031,,,VIA CASARETTE 58,CASTELGOMBERTO,36070,VI,Italia,11.381727200,45.5898716,2568,,,,,,,,,,,,,,,,,,,,,,
L288081,1201000123,MAINETTI SPA,L2062,,,VIA CASARETTE 58,CASTELGOMBERTO,36070,VI,Italia,11.381727200,45.5898716,3995,,,,,,,,,,,,,,,,,,,,,,
RV1506045,1201001836,STAMPI BRUNELLO SRL MARCANTONIO,RV045,,Linea RAID,VIA ARMELLINA 71,SAN DON' DI PIAVE,30027,VE,Italia,12.604662722,45.5960096,1100,45.596149,12.605922,"Via Armellina, 71, 30027 Comune di San Donà di Piave VE, Italia",,71,,Via Armellina,30027,,Comune di San Donà di Piave,Venezia,VE,Veneto,VEN,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
VM0606005,1201001150,EURO STAMPI SRL,VM005,,,VIA I. SILONE 8,JESI,60035,AN,Italia,13.278778605,43.5440202,-1096,,,,,,,,,,,,,,,,,,,,,,
L291159,1201001930,METALMECCANICA COSTRUZIONI SRL,L2110,,,VIA GIORDANO 11,VALLESE DI OPPEANO,37050,VR,Italia,11.078952555,45.32741889,4420,45.327342,11.079056,"Via Umberto Giordano, 11, 37050 Vallese VR, Italia",,11,Comune di Oppeano,Via Umberto Giordano,37050,,Vallese,Verona,VR,Veneto,VEN,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
L287054,1201001938,VERRI E PINA SRL,L2044,,,VIA TERRA ROSSA 8-10,CANZO,22035,CO,Italia,9.269418586,45.85403732,4405,,,,,,,,,,,,,,,,,,,,,,
VM0606007,1201000687,CAM SRL,VM007,,,VIA NUOVA 152-154,GRAVELLONA TOCE,28025,VB,Italia,8.436846900,45.9266218,128,,,,,,,,,,,,,,,,,,,,,,
GM0606016,1201001820,JUNIOR S.R.L.,GM016,,,"VIA GALILEI 54/C, ZONA PRODUTTIVA RAMERA",MARENO DI PIAVE,31010,TV,Italia,12.332964388,45.86581469,4500,,,,,,,,,,,,,,,,,,,,,,
GM0606017,1201001626,GALLICCHIO STAMPI SRL,GM017,,,STRADA DEL FRANCESE 97/50,TORINO,10156,TO,Italia,8.865583769,45.81426551,3181,45.136188,7.665827,"Strada Del Francese, 97/50, 10071 Torino Torino, Italia",,97/50,Comune di Borgaro Torinese,Strada Del Francese,10071,Circoscrizione 6,Torino,Torino,TO,Piemonte,PIE,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
